,Equity,DrawdownPct,DrawdownDuration
2024-01-04 19:15:00+00:00,999997272.7886031,2.821277186537685e-06,
2024-01-04 19:30:00+00:00,999997203.2645509,2.8908012320583154e-06,
2024-01-04 19:45:00+00:00,999997180.298578,2.9137672028500816e-06,
2024-01-04 20:00:00+00:00,999997215.6501405,2.8784156436145736e-06,
2024-01-04 20:15:00+00:00,999997130.1490419,2.9639167342665473e-06,
2024-01-04 20:30:00+00:00,999997164.1486757,2.9299171036001326e-06,
2024-01-04 20:45:00+00:00,999997026.9516996,3.0671140668347974e-06,
2024-01-05 14:30:00+00:00,999996941.1797025,3.1528860557905602e-06,
2024-01-05 14:45:00+00:00,999996701.018008,3.3930477277843707e-06,
2024-01-05 15:00:00+00:00,999996775.3058094,3.318759933423898e-06,
2024-01-05 15:15:00+00:00,999996577.2622974,3.5168034266952475e-06,
2024-01-05 15:30:00+00:00,999996542.1416744,3.551924046441002e-06,
2024-01-05 15:45:00+00:00,999996387.2274288,3.7068382774396724e-06,
2024-01-05 16:00:00+00:00,999996317.8809444,3.776184755333034e-06,
2024-01-05 16:15:00+00:00,999996064.5176827,4.029547993278371e-06,
2024-01-05 16:30:00+00:00,999996017.1061715,4.076959499998978e-06,
2024-01-05 16:45:00+00:00,999996080.607148,4.013458529406044e-06,
2024-01-05 17:00:00+00:00,999996049.1069039,4.044958770488272e-06,
2024-01-05 17:15:00+00:00,999996029.1056832,4.064959989391603e-06,
2024-01-05 17:30:00+00:00,999996042.1061715,4.051959502260338e-06,
2024-01-05 17:45:00+00:00,999996005.8573922,4.08820827824119e-06,
2024-01-05 18:00:00+00:00,999995944.1050729,4.149960591726121e-06,
2024-01-05 18:15:00+00:00,999996028.1047066,4.0659609658044715e-06,
2024-01-05 18:30:00+00:00,999996099.1069039,3.994958775233037e-06,
2024-01-05 18:45:00+00:00,999996073.1059273,4.020959749384545e-06,
2024-01-05 19:00:00+00:00,999996115.6047066,3.978460974107811e-06,
2024-01-05 19:15:00+00:00,999996070.1060494,4.023959626953122e-06,
2024-01-05 19:30:00+00:00,999996046.6044625,4.047461211742487e-06,
2024-01-05 19:45:00+00:00,999995919.6055611,4.174460101147304e-06,
2024-01-05 20:00:00+00:00,999995958.1065377,4.135959128181987e-06,
2024-01-05 20:15:00+00:00,999995894.6055611,4.199460098774921e-06,
2024-01-05 20:30:00+00:00,999996025.605317,4.068460355277637e-06,
2024-01-05 20:45:00+00:00,999996066.1051949,4.027960481156612e-06,
2024-01-08 14:30:00+00:00,999996338.105317,3.755960384599355e-06,
2024-01-08 14:45:00+00:00,999996273.0964608,3.820969234680227e-06,
2024-01-08 15:00:00+00:00,999996169.5960946,3.924469591187751e-06,
2024-01-08 15:15:00+00:00,999996105.1105669,3.988955112887993e-06,
2024-01-08 15:30:00+00:00,999996035.3309343,4.058734738854319e-06,
2024-01-08 15:45:00+00:00,999996065.8302019,4.02823547418496e-06,
2024-01-08 16:00:00+00:00,999996087.8303239,4.00623535412592e-06,
2024-01-08 16:15:00+00:00,999996080.8326433,4.0132330341169364e-06,
2024-01-08 16:30:00+00:00,999996088.3308122,4.005734865919486e-06,
2024-01-08 16:45:00+00:00,999996109.3299577,3.984735722384336e-06,
2024-01-08 17:00:00+00:00,999996059.3299577,4.03473571763957e-06,
2024-01-08 17:15:00+00:00,999996075.3303239,4.0187353529397285e-06,
2024-01-08 17:30:00+00:00,999996073.3314226,4.0207342542064595e-06,
2024-01-08 17:45:00+00:00,999996071.1005876,4.022965088945618e-06,
2024-01-08 18:00:00+00:00,999996006.3300798,4.087735590574404e-06,
2024-01-08 18:15:00+00:00,999996004.3311784,4.089734491841135e-06,
2024-01-08 18:30:00+00:00,999996015.7111833,4.07835448801297e-06,
2024-01-08 18:45:00+00:00,999996024.3323991,4.069733272937803e-06,
2024-01-08 19:00:00+00:00,999996059.830446,4.034235229433136e-06,
2024-01-08 19:15:00+00:00,999996082.3310564,4.011734621167662e-06,
2024-01-08 19:30:00+00:00,999996121.3325212,3.9727331599959115e-06,
2024-01-08 19:45:00+00:00,999996242.5163052,3.851549387423603e-06,
2024-01-08 20:00:00+00:00,999996170.8122036,3.923253482196465e-06,
2024-01-08 20:15:00+00:00,999996121.8131802,3.972252501038831e-06,
2024-01-08 20:30:00+00:00,999996224.8130581,3.869252632848763e-06,
2024-01-08 20:45:00+00:00,999996288.5797555,3.805485941477116e-06,
